AAAA-MM,indice
1983-01,0.0864
1983-02,0.0786
1983-03,0.0734
1983-04,0.0658
1983-05,0.0648
1983-06,0.0988
1983-07,0.1008
1983-08,0.0911
1983-09,0.103
1983-10,0.0887
1983-11,0.0738
1983-12,0.0868
1984-01,0.0967
1984-02,0.095
1984-03,0.0894
1984-04,0.0954
1984-05,0.0905
1984-06,0.1008
1984-07,0.0972
1984-08,0.0935
1984-09,0.1175
1984-10,0.1044
1984-11,0.1053
1984-12,0.1198
1985-01,0.1176
1985-02,0.1087
1985-03,0.1016
1985-04,0.082
1985-05,0.072
1985-06,0.0849
1985-07,0.1031
1985-08,0.1205
1985-09,0.1112
1985-10,0.1062
1985-11,0.1397
1985-12,0.1507
1986-01,0.1437
1986-02,0.1272
1986-03,0.0477
1986-04,0.0078
1986-05,0.014
1986-06,0.0127
1986-07,0.0171
1986-08,0.0355
1986-09,0.0172
1986-10,0.019
1986-11,0.0545
1986-12,0.1165
1987-01,0.1321
1987-02,0.1264
1987-03,0.1637
1987-04,0.191
1987-05,0.2145
1987-06,0.1971
1987-07,0.0921
1987-08,0.0487
1987-09,0.0778
1987-10,0.1122
1987-11,0.1508
1987-12,0.1415
1988-01,0.1889
1988-02,0.157
1988-03,0.176
1988-04,0.1929
1988-05,0.1742
1988-06,0.22
1988-07,0.2191
1988-08,0.2159
1988-09,0.2745
1988-10,0.2562
1988-11,0.2794
1988-12,0.287
1989-01,0.3749
1989-02,0.1678
1989-03,0.0682
1989-04,0.0833
1989-05,0.1792
1989-06,0.2865
1989-07,0.2774
1989-08,0.3371
1989-09,0.3756
1989-10,0.3977
1989-11,0.4782
1989-12,0.515
1990-01,0.6755
1990-02,0.7573
1990-03,0.8239
1990-04,0.1552
1990-05,0.0759
1990-06,0.1175
1990-07,0.1292
1990-08,0.1288
1990-09,0.1441
1990-10,0.1436
1990-11,0.1681
1990-12,0.1844
1991-01,0.2095
1991-02,0.202
1991-03,0.1179
1991-04,0.0501
1991-05,0.0668
1991-06,0.1083
1991-07,0.1214
1991-08,0.1562
1991-09,0.1562
1991-10,0.2108
1991-11,0.2648
1991-12,0.2415
1992-01,0.2592
1992-02,0.2448
1992-03,0.2162
1992-04,0.2084
1992-05,0.245
1992-06,0.2085
1992-07,0.2208
1992-08,0.2238
1992-09,0.2398
1992-10,0.2607
1992-11,0.2289
1992-12,0.2558
1993-01,0.2877
1993-02,0.2479
1993-03,0.2758
1993-04,0.2837
1993-05,0.2678
1993-06,0.3037
1993-07,0.3101
1993-08,0.3334
1993-09,0.3563
1993-10,0.3412
1993-11,0.36
1993-12,0.3773
1994-01,0.4132
1994-02,0.4057
1994-03,0.4308
1994-04,0.4286
1994-05,0.4273
1994-06,0.4824
1994-07,0.0775
1994-08,0.0185
1994-09,0.014
1994-10,0.0282
1994-11,0.0296
1994-12,0.017
1995-01,0.0144
1995-02,0.0101
1995-03,0.0162
1995-04,0.0249
1995-05,0.021
1995-06,0.0218
1995-07,0.0246
1995-08,0.0102
1995-09,0.0117
1995-10,0.014
1995-11,0.0151
1995-12,0.0165
1996-01,0.0146
1996-02,0.0071
1996-03,0.0029
1996-04,0.0093
1996-05,0.0128
1996-06,0.0133
1996-07,0.012
1996-08,0.005
1996-09,0.0002
1996-10,0.0038
1996-11,0.0034
1996-12,0.0033
1997-01,0.0081
1997-02,0.0045
1997-03,0.0068
1997-04,0.006
1997-05,0.0011
1997-06,0.0035
1997-07,0.0018
1997-08,-0.0003
1997-09,0.001
1997-10,0.0029
1997-11,0.0015
1997-12,0.0057
1998-01,0.0085
1998-02,0.0054
1998-03,0.0049
1998-04,0.0045
1998-05,0.0072
1998-06,0.0015
1998-07,-0.0028
1998-08,-0.0049
1998-09,-0.0031
1998-10,0.0011
1998-11,-0.0018
1998-12,0.0042
1999-01,0.0065
1999-02,0.0129
1999-03,0.0128
1999-04,0.0047
1999-05,0.0005
1999-06,0.0007
1999-07,0.0074
1999-08,0.0055
1999-09,0.0039
1999-10,0.0096
1999-11,0.0094
1999-12,0.0074
2000-01,0.0061
2000-02,0.0005
2000-03,0.0013
2000-04,0.0009
2000-05,-0.0005
2000-06,0.003
2000-07,0.0139
2000-08,0.0121
2000-09,0.0043
2000-10,0.0016
2000-11,0.0029
2000-12,0.0055
2001-01,0.0077
2001-02,0.0049
2001-03,0.0048
2001-04,0.0084
2001-05,0.0057
2001-06,0.006
2001-07,0.0111
2001-08,0.0079
2001-09,0.0044
2001-10,0.0094
2001-11,0.0129
2001-12,0.0074
2002-01,0.0107
2002-02,0.0031
2002-03,0.0062
2002-04,0.0068
2002-05,0.0009
2002-06,0.0061
2002-07,0.0115
2002-08,0.0086
2002-09,0.0083
2002-10,0.0157
2002-11,0.0339
2002-12,0.027
2003-01,0.0247
2003-02,0.0146
2003-03,0.0137
2003-04,0.0138
2003-05,0.0099
2003-06,-0.0006
2003-07,0.0004
2003-08,0.0018
2003-09,0.0082
2003-10,0.0039
2003-11,0.0037
2003-12,0.0054
2004-01,0.0083
2004-02,0.0039
2004-03,0.0057
2004-04,0.0041
2004-05,0.004
2004-06,0.005
2004-07,0.0073
2004-08,0.005
2004-09,0.0017
2004-10,0.0017
2004-11,0.0044
2004-12,0.0086
