AAAA-MM,sm_nominal,fator_reajuste
1983-01,8.570181818182e-09,1.000000
1983-02,8.570181818182e-09,1.000000
1983-03,8.570181818182e-09,1.000000
1983-04,8.570181818182e-09,1.000000
1983-05,1.264581818182e-08,1.475560
1983-06,1.264581818182e-08,1.000000
1983-07,1.264581818182e-08,1.000000
1983-08,1.264581818182e-08,1.000000
1983-09,1.264581818182e-08,1.000000
1983-10,1.264581818182e-08,1.000000
1983-11,2.077090909091e-08,1.642512
1983-12,2.077090909091e-08,1.000000
1984-01,2.077090909091e-08,1.000000
1984-02,2.077090909091e-08,1.000000
1984-03,2.077090909091e-08,1.000000
1984-04,2.077090909091e-08,1.000000
1984-05,3.533672727273e-08,1.701261
1984-06,3.533672727273e-08,1.000000
1984-07,3.533672727273e-08,1.000000
1984-08,3.533672727273e-08,1.000000
1984-09,3.533672727273e-08,1.000000
1984-10,3.533672727273e-08,1.000000
1984-11,6.056727272727e-08,1.714003
1984-12,6.056727272727e-08,1.000000
1985-01,6.056727272727e-08,1.000000
1985-02,6.056727272727e-08,1.000000
1985-03,6.056727272727e-08,1.000000
1985-04,6.056727272727e-08,1.000000
1985-05,1.211345454545e-07,2.000000
1985-06,1.211345454545e-07,1.000000
1985-07,1.211345454545e-07,1.000000
1985-08,1.211345454545e-07,1.000000
1985-09,1.211345454545e-07,1.000000
1985-10,1.211345454545e-07,1.000000
1985-11,2.181818181818e-07,1.801153
1985-12,2.181818181818e-07,1.000000
1986-01,2.181818181818e-07,1.000000
1986-02,2.181818181818e-07,1.000000
1986-03,2.923636363636e-07,1.340000
1986-04,2.923636363636e-07,1.000000
1986-05,2.923636363636e-07,1.000000
1986-06,2.923636363636e-07,1.000000
1986-07,2.923636363636e-07,1.000000
1986-08,2.923636363636e-07,1.000000
1986-09,2.923636363636e-07,1.000000
1986-10,2.923636363636e-07,1.000000
1986-11,2.923636363636e-07,1.000000
1986-12,2.923636363636e-07,1.000000
1987-01,3.508363636364e-07,1.200000
1987-02,3.508363636364e-07,1.000000
1987-03,4.974545454545e-07,1.417910
1987-04,4.974545454545e-07,1.000000
1987-05,5.969454545455e-07,1.200000
1987-06,7.163345454545e-07,1.200000
1987-07,7.163345454545e-07,1.000000
1987-08,7.163636363636e-07,1.000041
1987-09,8.727272727273e-07,1.218274
1987-10,9.600000000000e-07,1.100000
1987-11,1.090909090909e-06,1.136364
1987-12,1.309090909091e-06,1.200000
1988-01,1.636363636364e-06,1.250000
1988-02,1.920000000000e-06,1.173333
1988-03,2.269090909091e-06,1.181818
1988-04,2.640000000000e-06,1.163462
1988-05,3.168000000000e-06,1.200000
1988-06,3.770181818182e-06,1.190083
1988-07,4.525090909091e-06,1.200231
1988-08,5.655272727273e-06,1.249759
1988-09,6.894545454545e-06,1.219136
1988-10,8.618181818182e-06,1.250000
1988-11,1.120000000000e-05,1.299578
1988-12,1.470000000000e-05,1.312500
1989-01,1.977236363636e-05,1.345059
1989-02,2.323636363636e-05,1.175194
1989-03,2.323636363636e-05,1.000000
1989-04,2.323636363636e-05,1.000000
1989-05,2.960000000000e-05,1.273865
1989-06,4.363636363636e-05,1.474201
1989-07,5.447272727273e-05,1.248333
1989-08,7.013818181818e-05,1.287583
1989-09,9.072000000000e-05,1.293447
1989-10,1.388109090909e-04,1.530103
1989-11,2.026654545455e-04,1.460011
1989-12,2.866109090909e-04,1.414207
1990-01,4.668909090909e-04,1.629006
1990-02,7.288618181818e-04,1.561097
1990-03,1.336021818182e-03,1.833025
1990-04,1.336021818182e-03,1.000000
1990-05,1.336021818182e-03,1.000000
1990-06,1.402821818182e-03,1.049999
1990-07,1.783549090909e-03,1.271401
1990-08,1.892167272727e-03,1.060900
1990-09,2.202294545455e-03,1.163901
1990-10,2.336414545455e-03,1.060900
1990-11,3.028927272727e-03,1.296400
1990-12,3.213389090909e-03,1.060900
1991-01,4.482036363636e-03,1.394800
1991-02,5.780167272727e-03,1.289630
1991-03,6.181818181818e-03,1.069488
1991-04,6.181818181818e-03,1.000000
1991-05,6.181818181818e-03,1.000000
1991-06,6.181818181818e-03,1.000000
1991-07,6.181818181818e-03,1.000000
1991-08,6.181818181818e-03,1.000000
1991-09,1.527272727273e-02,2.470588
1991-10,1.527272727273e-02,1.000000
1991-11,1.527272727273e-02,1.000000
1991-12,1.527272727273e-02,1.000000
1992-01,3.492266545455e-02,2.286603
1992-02,3.492266545455e-02,1.000000
1992-03,3.492266545455e-02,1.000000
1992-04,3.492266545455e-02,1.000000
1992-05,8.363636363636e-02,2.394902
1992-06,8.363636363636e-02,1.000000
1992-07,8.363636363636e-02,1.000000
1992-08,8.363636363636e-02,1.000000
1992-09,1.898861600000e-01,2.270378
1992-10,1.898861600000e-01,1.000000
1992-11,1.898861600000e-01,1.000000
1992-12,1.898861600000e-01,1.000000
1993-01,4.548000000000e-01,2.395119
1993-02,4.548000000000e-01,1.000000
1993-03,6.216000000000e-01,1.366755
1993-04,6.216000000000e-01,1.000000
1993-05,1.201200000000e+00,1.932432
1993-06,1.201200000000e+00,1.000000
1993-07,1.687200000000e+00,1.404595
1993-08,2.012363636364e+00,1.192724
1993-09,3.493090909091e+00,1.735815
1993-10,4.372363636364e+00,1.251718
1993-11,5.462181818182e+00,1.249251
1993-12,6.821818181818e+00,1.248918
1994-01,1.195709090909e+01,1.752772
1994-02,1.557418181818e+01,1.302506
1994-03,1.829030545455e+01,1.174399
1994-04,2.601171636364e+01,1.422159
1994-05,3.741373454545e+01,1.438342
1994-06,5.368257454545e+01,1.434836
1994-07,6.479000000000e+01,1.206909
1994-08,6.479000000000e+01,1.000000
1994-09,7.000000000000e+01,1.080414
1994-10,7.000000000000e+01,1.000000
1994-11,7.000000000000e+01,1.000000
1994-12,7.000000000000e+01,1.000000
1995-01,7.000000000000e+01,1.000000
1995-02,7.000000000000e+01,1.000000
1995-03,7.000000000000e+01,1.000000
1995-04,7.000000000000e+01,1.000000
1995-05,1.000000000000e+02,1.428571
1995-06,1.000000000000e+02,1.000000
1995-07,1.000000000000e+02,1.000000
1995-08,1.000000000000e+02,1.000000
1995-09,1.000000000000e+02,1.000000
1995-10,1.000000000000e+02,1.000000
1995-11,1.000000000000e+02,1.000000
1995-12,1.000000000000e+02,1.000000
1996-01,1.000000000000e+02,1.000000
1996-02,1.000000000000e+02,1.000000
1996-03,1.000000000000e+02,1.000000
1996-04,1.000000000000e+02,1.000000
1996-05,1.120000000000e+02,1.120000
1996-06,1.120000000000e+02,1.000000
1996-07,1.120000000000e+02,1.000000
