contrato_id,codigo,data_base,saldo_base_bruto,saldo_convertido_real,fator_nominal,inflado
898,770,1993-05-30,115626992.55,42.05,2750000,SIM
1568,6518,1993-03-30,105675427.42,38.43,2750000,SIM
2958,5933,1993-02-28,95275121.58,34.65,2750000,SIM
369,4138,1993-02-15,79567210.70,28.93,2750000,SIM
568,7177,1993-05-30,73638758.76,26.78,2750000,SIM
1229,6176,1992-11-30,54737156.08,19.90,2750000,SIM
3222,496,1985-10-30,29187558.03,0.00,2750000000000,SIM
1232,6181,1992-08-30,28673212.64,10.43,2750000,SIM
1110,6058,1992-07-30,28591024.42,10.40,2750000,SIM
597,7207,1992-11-30,21814382.52,7.93,2750000,SIM
3108,336,1986-02-28,16731619.81,0.01,2750000000,SIM
831,7561,1993-01-15,10189922.74,3.71,2750000,SIM
1634,6585,1992-01-30,7759239.94,2.82,2750000,SIM
2431,5395,1992-01-30,6797456.03,2.47,2750000,SIM
3164,414,1985-12-15,5569138.47,0.00,2750000000000,SIM
3054,626,1992-06-30,5535863.47,2.01,2750000,SIM
987,1363,1994-05-30,4354795.45,1583.56,2750,SIM
1216,6163,1991-10-30,4183697.26,1.52,2750000,SIM
3018,334,1994-04-30,3871139.38,1407.69,2750,SIM
1025,1275,1992-06-30,3166957.04,1.15,2750000,SIM
3087,6178,1988-12-30,3113305.69,0.00,2750000000,SIM
815,7544,1992-07-15,3094298.07,1.13,2750000,SIM
3117,6177,1988-12-30,2947576.63,0.00,2750000000,SIM
1522,6471,1991-07-30,2859481.45,1.04,2750000,SIM
3022,362,1992-07-15,2821100.46,1.03,2750000,SIM
2133,5096,1994-01-30,2803767.23,1019.55,2750,SIM
1956,6913,1994-01-30,2802482.50,1019.08,2750,SIM
1191,6139,1991-08-30,2795061.43,1.02,2750000,SIM
2134,5097,1991-09-30,2751654.58,1.00,2750000,SIM
1270,6219,1994-01-30,2641164.47,960.42,2750,SIM
3099,5515,1988-12-30,2563869.05,0.00,2750000000,SIM
2867,5840,1994-02-28,2483971.94,903.26,2750,SIM
2774,5746,1994-02-28,2427467.24,882.72,2750,SIM
1240,6189,1991-04-30,2404394.95,0.87,2750000,SIM
1603,6554,1991-04-30,2383813.10,0.87,2750000,SIM
3075,2663,1991-12-15,2370200.96,0.86,2750000,SIM
2573,5540,1991-06-30,2347299.01,0.85,2750000,SIM
2005,6962,1991-04-30,2339822.02,0.85,2750000,SIM
88,554,1991-11-30,2333500.62,0.85,2750000,SIM
1957,6914,1991-05-30,2295877.29,0.83,2750000,SIM
1339,6288,1991-04-30,2292435.12,0.83,2750000,SIM
2664,5632,1994-01-30,2273645.99,826.78,2750,SIM
2193,5156,1991-05-30,2264377.68,0.82,2750000,SIM
1251,6200,1991-04-30,2260406.94,0.82,2750000,SIM
1159,6107,1991-05-30,2250481.98,0.82,2750000,SIM
1496,6445,1991-05-30,2218492.92,0.81,2750000,SIM
1893,6850,1991-06-30,2202642.20,0.80,2750000,SIM
2002,6959,1991-05-30,2200140.59,0.80,2750000,SIM
1182,6130,1991-05-30,2183849.83,0.79,2750000,SIM
1558,6508,1991-04-30,2182768.86,0.79,2750000,SIM
2496,5461,1991-05-30,2154258.86,0.78,2750000,SIM
1661,6613,1991-05-30,2144029.44,0.78,2750000,SIM
1723,6676,1991-04-30,2130756.87,0.77,2750000,SIM
3138,180,1984-09-30,2121623.26,0.00,2750000000000,SIM
3098,5423,1988-12-30,2037426.10,0.00,2750000000,SIM
2029,6987,1991-05-30,2026349.16,0.74,2750000,SIM
3104,5935,1988-12-30,2000920.74,0.00,2750000000,SIM
3123,5693,1988-11-30,1957440.32,0.00,2750000000,SIM
2672,5640,1991-04-30,1831961.61,0.67,2750000,SIM
3093,6786,1988-07-30,1774265.71,0.00,2750000000,SIM
3016,324,1994-04-30,1637066.93,595.30,2750,SIM
888,743,1991-05-15,1600207.37,0.58,2750000,SIM
1128,6076,1991-03-30,1594540.24,0.58,2750000,SIM
3079,722,1988-10-15,1579444.92,0.00,2750000000,SIM
927,929,1991-05-15,1509936.59,0.55,2750000,SIM
932,1010,1991-05-15,1509936.59,0.55,2750000,SIM
2456,5420,1991-04-30,1456258.20,0.53,2750000,SIM
2438,5402,1991-05-30,1454334.00,0.53,2750000,SIM
2302,5265,1991-06-30,1426949.98,0.52,2750000,SIM
3113,433,1988-12-30,1360479.43,0.00,2750000000,SIM
147,697,1991-05-15,1271450.15,0.46,2750000,SIM
2334,5297,1991-03-30,1267072.73,0.46,2750000,SIM
893,748,1991-04-30,1261954.76,0.46,2750000,SIM
161,750,1991-05-15,1248042.27,0.45,2750000,SIM
887,742,1991-04-30,1243282.30,0.45,2750000,SIM
124,614,1991-05-15,1241009.41,0.45,2750000,SIM
139,644,1991-04-30,1237508.44,0.45,2750000,SIM
162,751,1991-04-15,1237508.44,0.45,2750000,SIM
889,744,1991-11-30,1214861.56,0.44,2750000,SIM
83,546,1991-07-30,1214230.35,0.44,2750000,SIM
144,661,1991-04-15,1212921.56,0.44,2750000,SIM
633,7244,1994-03-30,1209309.45,439.75,2750,SIM
557,7166,1994-01-30,1208339.54,439.40,2750,SIM
3003,102,1991-04-15,1207860.36,0.44,2750000,SIM
31,486,1991-04-30,1206732.22,0.44,2750000,SIM
158,720,1991-05-30,1172909.48,0.43,2750000,SIM
3083,7251,1988-12-30,1172360.42,0.00,2750000000,SIM
45,501,1991-04-30,1156737.97,0.42,2750000,SIM
1520,6469,1993-10-30,1154378.69,419.77,2750,SIM
2787,5759,1993-12-30,1141323.49,415.03,2750,SIM
941,1188,1991-05-30,1135523.66,0.41,2750000,SIM
