codigo,dt,moeda,saldo_raw,saldo_real,fator
770,1993-05-30,CRUZEIRO (novo),115626992.55,42.04617910909091,2750000.0
6518,1993-03-30,CRUZEIRO (novo),105675427.42,38.42742815272727,2750000.0
5933,1993-02-28,CRUZEIRO (novo),95275121.58,34.64549875636364,2750000.0
4138,1993-02-15,CRUZEIRO (novo),79567210.7,28.933531163636363,2750000.0
7177,1993-05-30,CRUZEIRO (novo),73638758.76,26.777730458181818,2750000.0
6176,1992-11-30,CRUZEIRO (novo),54737156.08,19.90442039272727,2750000.0
496,1985-10-30,CRUZEIRO (antigo),29187558.03,1.0613657465454546e-05,2750000000000.0
6181,1992-08-30,CRUZEIRO (novo),28673212.64,10.426622778181818,2750000.0
6058,1992-07-30,CRUZEIRO (novo),28591024.42,10.396736152727273,2750000.0
7207,1992-11-30,CRUZEIRO (novo),21814382.52,7.932502734545454,2750000.0
336,1986-02-28,CRUZADO,16731619.81,0.006084225385454545,2750000000.0
7561,1993-01-15,CRUZEIRO (novo),10189922.74,3.705426450909091,2750000.0
6585,1992-01-30,CRUZEIRO (novo),7759239.94,2.8215417963636362,2750000.0
5395,1992-01-30,CRUZEIRO (novo),6797456.03,2.4718021927272726,2750000.0
414,1985-12-15,CRUZEIRO (antigo),5569138.47,2.0251412618181817e-06,2750000000000.0
626,1992-06-30,CRUZEIRO (novo),5535863.47,2.0130412618181817,2750000.0
1363,1994-05-30,CRUZEIRO REAL,4354795.45,1583.5619818181817,2750.0
6163,1991-10-30,CRUZEIRO (novo),4183697.26,1.521344458181818,2750000.0
334,1994-04-30,CRUZEIRO REAL,3871139.38,1407.6870472727273,2750.0
1275,1992-06-30,CRUZEIRO (novo),3166957.04,1.1516207418181819,2750000.0
6178,1988-12-30,CRUZADO,3113305.69,0.00113211116,2750000000.0
7544,1992-07-15,CRUZEIRO (novo),3094298.07,1.1251992981818182,2750000.0
6177,1988-12-30,CRUZADO,2947576.63,0.0010718460472727272,2750000000.0
6471,1991-07-30,CRUZEIRO (novo),2859481.45,1.0398114363636364,2750000.0
362,1992-07-15,CRUZEIRO (novo),2821100.46,1.0258547127272728,2750000.0
5096,1994-01-30,CRUZEIRO REAL,2803767.23,1019.55172,2750.0
6913,1994-01-30,CRUZEIRO REAL,2802482.5,1019.0845454545455,2750.0
6139,1991-08-30,CRUZEIRO (novo),2795061.43,1.0163859745454547,2750000.0
5097,1991-09-30,CRUZEIRO (novo),2751654.58,1.0006016654545455,2750000.0
6219,1994-01-30,CRUZEIRO REAL,2641164.47,960.4234436363637,2750.0
5515,1988-12-30,CRUZADO,2563869.05,0.0009323160181818182,2750000000.0
5840,1994-02-28,CRUZEIRO REAL,2483971.94,903.2625236363637,2750.0
5746,1994-02-28,CRUZEIRO REAL,2427467.24,882.71536,2750.0
6189,1991-04-30,CRUZEIRO (novo),2404394.95,0.8743254363636364,2750000.0
6554,1991-04-30,CRUZEIRO (novo),2383813.1,0.8668411272727272,2750000.0
2663,1991-12-15,CRUZEIRO (novo),2370200.96,0.8618912581818182,2750000.0
5540,1991-06-30,CRUZEIRO (novo),2347299.01,0.8535632763636364,2750000.0
6962,1991-04-30,CRUZEIRO (novo),2339822.02,0.8508443709090909,2750000.0
554,1991-11-30,CRUZEIRO (novo),2333500.62,0.84854568,2750000.0
6914,1991-05-30,CRUZEIRO (novo),2295877.29,0.8348644690909091,2750000.0
6288,1991-04-30,CRUZEIRO (novo),2292435.12,0.8336127709090909,2750000.0
5632,1994-01-30,CRUZEIRO REAL,2273645.99,826.78036,2750.0
5156,1991-05-30,CRUZEIRO (novo),2264377.68,0.8234100654545454,2750000.0
6200,1991-04-30,CRUZEIRO (novo),2260406.94,0.82196616,2750000.0
6107,1991-05-30,CRUZEIRO (novo),2250481.98,0.8183570836363636,2750000.0
6445,1991-05-30,CRUZEIRO (novo),2218492.92,0.8067246981818181,2750000.0
6850,1991-06-30,CRUZEIRO (novo),2202642.2,0.8009608,2750000.0
6959,1991-05-30,CRUZEIRO (novo),2200140.59,0.8000511236363637,2750000.0
6130,1991-05-30,CRUZEIRO (novo),2183849.83,0.7941272109090909,2750000.0
6508,1991-04-30,CRUZEIRO (novo),2182768.86,0.793734130909091,2750000.0
5461,1991-05-30,CRUZEIRO (novo),2154258.86,0.7833668581818182,2750000.0
6613,1991-05-30,CRUZEIRO (novo),2144029.44,0.7796470690909091,2750000.0
6676,1991-04-30,CRUZEIRO (novo),2130756.87,0.77482068,2750000.0
180,1984-09-30,CRUZEIRO (antigo),2121623.26,7.714993672727273e-07,2750000000000.0
5423,1988-12-30,CRUZADO,2037426.1,0.0007408822181818182,2750000000.0
6987,1991-05-30,CRUZEIRO (novo),2026349.16,0.73685424,2750000.0
5935,1988-12-30,CRUZADO,2000920.74,0.0007276075418181818,2750000000.0
5693,1988-11-30,CRUZADO,1957440.32,0.00071179648,2750000000.0
5640,1991-04-30,CRUZEIRO (novo),1831961.61,0.6661678581818182,2750000.0
6786,1988-07-30,CRUZADO,1774265.71,0.0006451875309090909,2750000000.0
324,1994-04-30,CRUZEIRO REAL,1637066.93,595.2970654545454,2750.0
743,1991-05-15,CRUZEIRO (novo),1600207.37,0.581893589090909,2750000.0
6076,1991-03-30,CRUZEIRO (novo),1594540.24,0.5798328145454545,2750000.0
722,1988-10-15,CRUZADO,1579444.92,0.0005743436072727273,2750000000.0
929,1991-05-15,CRUZEIRO (novo),1509936.59,0.5490678509090909,2750000.0
1010,1991-05-15,CRUZEIRO (novo),1509936.59,0.5490678509090909,2750000.0
5420,1991-04-30,CRUZEIRO (novo),1456258.2,0.5295484363636364,2750000.0
5402,1991-05-30,CRUZEIRO (novo),1454334.0,0.5288487272727272,2750000.0
5265,1991-06-30,CRUZEIRO (novo),1426949.98,0.5188909018181819,2750000.0
433,1988-12-30,CRUZADO,1360479.43,0.0004947197927272727,2750000000.0
697,1991-05-15,CRUZEIRO (novo),1271450.15,0.4623455090909091,2750000.0
5297,1991-03-30,CRUZEIRO (novo),1267072.73,0.46075372,2750000.0
748,1991-04-30,CRUZEIRO (novo),1261954.76,0.45889264,2750000.0
750,1991-05-15,CRUZEIRO (novo),1248042.27,0.4538335527272727,2750000.0
742,1991-04-30,CRUZEIRO (novo),1243282.3,0.45210265454545456,2750000.0
614,1991-05-15,CRUZEIRO (novo),1241009.41,0.4512761490909091,2750000.0
644,1991-04-30,CRUZEIRO (novo),1237508.44,0.4500030690909091,2750000.0
751,1991-04-15,CRUZEIRO (novo),1237508.44,0.4500030690909091,2750000.0
744,1991-11-30,CRUZEIRO (novo),1214861.56,0.44176784,2750000.0
546,1991-07-30,CRUZEIRO (novo),1214230.35,0.4415383090909091,2750000.0
661,1991-04-15,CRUZEIRO (novo),1212921.56,0.44106238545454546,2750000.0
7244,1994-03-30,CRUZEIRO REAL,1209309.45,439.7488909090909,2750.0
7166,1994-01-30,CRUZEIRO REAL,1208339.54,439.39619636363636,2750.0
102,1991-04-15,CRUZEIRO (novo),1207860.36,0.4392219490909091,2750000.0
486,1991-04-30,CRUZEIRO (novo),1206732.22,0.43881171636363636,2750000.0
720,1991-05-30,CRUZEIRO (novo),1172909.48,0.42651253818181817,2750000.0
7251,1988-12-30,CRUZADO,1172360.42,0.00042631288,2750000000.0
501,1991-04-30,CRUZEIRO (novo),1156737.97,0.4206319890909091,2750000.0
6469,1993-10-30,CRUZEIRO REAL,1154378.69,419.7740690909091,2750.0
5759,1993-12-30,CRUZEIRO REAL,1141323.49,415.0267236363636,2750.0
1188,1991-05-30,CRUZEIRO (novo),1135523.66,0.41291769454545457,2750000.0
7230,1988-12-30,CRUZADO,1135435.68,0.0004128857018181818,2750000000.0
883,1991-05-30,CRUZEIRO (novo),1130197.59,0.41098094181818184,2750000.0
531,1991-05-30,CRUZEIRO (novo),1121953.71,0.40798316727272727,2750000.0
774,1991-04-30,CRUZEIRO (novo),1116554.26,0.40601973090909094,2750000.0
548,1991-04-30,CRUZEIRO (novo),1113051.74,0.40474608727272726,2750000.0
542,1991-04-30,CRUZEIRO (novo),1112169.68,0.4044253381818182,2750000.0
582,1991-04-30,CRUZEIRO (novo),1112169.68,0.4044253381818182,2750000.0
527,1991-06-30,CRUZEIRO (novo),1089599.69,0.39621806909090906,2750000.0
498,1991-04-30,CRUZEIRO (novo),1083078.07,0.3938465709090909,2750000.0
832,1991-04-30,CRUZEIRO (novo),1082629.08,0.39368330181818184,2750000.0
851,1991-06-30,CRUZEIRO (novo),1070231.58,0.38917512,2750000.0
745,1991-04-30,CRUZEIRO (novo),1067731.75,0.3882660909090909,2750000.0
793,1991-05-30,CRUZEIRO (novo),1063777.67,0.38682824363636364,2750000.0
7232,1991-08-30,CRUZEIRO (novo),1014169.07,0.36878875272727274,2750000.0
370,1994-02-28,CRUZEIRO REAL,996133.99,362.2305418181818,2750.0
5331,1993-12-30,CRUZEIRO REAL,976947.2,355.2535272727273,2750.0
7327,1991-06-30,CRUZEIRO (novo),975277.05,0.3546462,2750000.0
6415,1990-11-30,CRUZEIRO (novo),961628.36,0.34968304,2750000.0
6973,1988-04-30,CRUZADO,945077.55,0.00034366456363636364,2750000000.0
149,1991-05-30,CRUZEIRO (novo),894096.13,0.32512586545454547,2750000.0
7042,1991-05-30,CRUZEIRO (novo),889753.13,0.3235465927272727,2750000.0
706,1991-02-15,CRUZEIRO (novo),863662.42,0.31405906181818183,2750000.0
1178,1991-05-30,CRUZEIRO (novo),831106.65,0.3022206,2750000.0
1218,1991-10-30,CRUZEIRO (novo),805027.33,0.2927372109090909,2750000.0
283,1994-02-28,CRUZEIRO REAL,798705.49,290.43836,2750.0
371,1991-04-30,CRUZEIRO (novo),757998.23,0.27563572,2750000.0
271,1991-04-30,CRUZEIRO (novo),740835.75,0.2693948181818182,2750000.0
5129,1990-07-30,CRUZEIRO (novo),712516.01,0.2590967309090909,2750000.0
5737,1988-06-30,CRUZADO,701317.85,0.0002550246727272727,2750000000.0
